VERSION                         42601
310101         202200220220201  L              000000000010628030C 001       ALEX           ALEX Beverage                                                                                                                                        #              014            #              #              #              #              #              #                             #              
310501         202200220220201  L              000000000002170610C 001       ALEX           ALEX Grab & Go                                                                                                                                       #              014            #              #              #              #              #              #                             #              
310201         202200220220201  L              000000000002551320C 001       ALEX           ALEX Food                                                                                                                                            #              014            #              #              #              #              #              #                             #              
310601         202200220220201  L              000000000000908770C 001       ALEX           ALEX Cheese Cake                                                                                                                                     #              014            #              #              #              #              #              #                             #              
121006         202200220220201  L              000000000002276220C 001       ALEX           ALEX Total Tax                                                                                                                                       #              014            #              #              #              #              #              #                             #              
310102         202200220220201  L              000000000000085600D 001       ALEX           ALEX Beverage Discount                                                                                                                               #              014            #              #              #              #              #              #                             #              
310202         202200220220201  L              000000000000003000D 001       ALEX           ALEX Food Discount                                                                                                                                   #              014            #              #              #              #              #              #                             #              
121002         202200220220201  L              000000000013729600D 001       ALEX           ALEX Cash                                                                                                                                            #              014            #              #              #              #              #              #                             #              
121004         202200220220201  L              000000000002589700D 001       ALEX           ALEX Master                                                                                                                                          #              014            #              #              #              #              #              #                             #              
121003         202200220220201  L              000000000002127050D 001       ALEX           ALEX Visa                                                                                                                                            #              014            #              #              #              #              #              #                             #              
